open,high,low,close,volume,turnover,time
117991.7,118033.4,117600.8,117716.5,2014.479,237295718.6099,2025-07-30 16:00:00+00:00
117716.5,117925.0,117609.2,117756.3,1053.229,124019871.3869,2025-07-30 17:00:00+00:00
117756.3,118029.0,116450.0,116471.7,8523.977,998511230.2003,2025-07-30 18:00:00+00:00
116471.7,117100.0,115738.1,116873.2,14932.769,1737025462.2807,2025-07-30 19:00:00+00:00
116873.2,117296.8,116828.6,117159.9,3485.463,408194301.1459,2025-07-30 20:00:00+00:00
117159.9,117312.7,116928.0,117300.2,1295.81,151767570.8152,2025-07-30 21:00:00+00:00
117300.2,117492.7,117204.1,117448.6,1540.999,180857105.7944,2025-07-30 22:00:00+00:00
117448.6,117921.1,117411.9,117781.6,2077.808,244453074.2555,2025-07-30 23:00:00+00:00
117781.6,118512.2,117740.6,118381.2,3674.204,434206759.8771,2025-07-31 00:00:00+00:00
118381.2,118447.6,117942.8,118024.6,1911.404,225968055.9846,2025-07-31 01:00:00+00:00
118024.6,118455.0,117930.4,118399.9,1376.003,162722726.3734,2025-07-31 02:00:00+00:00
118399.9,118580.0,118333.3,118444.4,1572.503,186244659.4371,2025-07-31 03:00:00+00:00
118444.4,118531.9,118320.2,118480.8,954.627,113056704.9908,2025-07-31 04:00:00+00:00
118480.8,118518.2,118298.0,118327.8,800.225,94733054.4762,2025-07-31 05:00:00+00:00
118327.8,118713.0,118257.6,118675.6,1353.891,160436585.4379,2025-07-31 06:00:00+00:00
118675.6,118900.0,118574.8,118646.6,2258.392,268142664.89,2025-07-31 07:00:00+00:00
118646.6,118739.2,118530.8,118563.2,1060.756,125829656.5914,2025-07-31 08:00:00+00:00
118563.2,118600.0,118450.0,118582.5,1183.08,140214437.7072,2025-07-31 09:00:00+00:00
118582.5,118707.0,118409.4,118499.9,1380.998,163698961.827,2025-07-31 10:00:00+00:00
118499.9,118553.0,118275.5,118346.9,1064.918,126102537.6305,2025-07-31 11:00:00+00:00
118346.9,118629.2,118264.2,118601.2,1751.168,207409992.5244,2025-07-31 12:00:00+00:00
118601.2,118663.3,117773.9,118537.2,6015.782,711356564.5221,2025-07-31 13:00:00+00:00
118537.2,118627.8,117852.8,117880.0,3517.815,415621617.8887,2025-07-31 14:00:00+00:00
117880.0,118324.8,117842.7,118273.2,2468.545,291601115.0586,2025-07-31 15:00:00+00:00
118273.2,118860.0,118200.6,118508.2,3921.548,464871157.5893,2025-07-31 16:00:00+00:00
118508.2,118537.5,117666.9,117710.0,4359.533,514320961.8869,2025-07-31 17:00:00+00:00
117710.0,117957.8,117350.0,117615.1,4934.624,580368959.4906,2025-07-31 18:00:00+00:00
117615.1,117730.6,116685.5,116709.3,6115.9,715983407.6045,2025-07-31 19:00:00+00:00
